13312	(same as U+4E18 丘) hillock or mound
13313	to lick; to taste, a mat, bamboo bark
13314	(J) non-standard form of U+559C 喜, to like, love, enjoy; a joyful thing
13317	(an ancient form of U+4E94 五) five
13318	(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable 隱)
13324	a tribe of savages in South China
13334	㐖毒, an old name for India
13340	(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match
13345	(same as 懦) weak; timid; imbecile
13348	to implore; to beseech, to seek after, to beg; to pray
13351	(J) non-standard form of 第 U+7B2C, sequence, number; grade, degree
13352	a kind of fish in legend (a record in old books)
13353	wine cups
13355	(same as 凶) cruel, unfortunate, sad
13356	(same as U+65D2 旒, a corrupted form of U+8352 荒) a cup with pendants, a pennant, wild, barren, uncultivated
13357	(same as 廩) a granary, to supply (foodstuff), to stockpile
13358	(same as 襄) to help; to assist, to achieve, to rise; to raise
13359	(ancient form of 庸) to employ; to use, to manifest
13360	(ancient form of 信) to believe in; to trust, truth, sincerity, confidence, a pledge or token
13361	(same as 鬒) bushy, black hair
13362	name of an island
13363	high and level on the top
13364	(non-classical of 攀) to drag down; to seize, to pull, to hold to
13365	Confucianism; scholar
13367	a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold
13368	(non-classical form of 欠) to owe money, deficient, to yawn, last name
13369	(standard form of 仡) strong; valiant, a minority ethnic group in China
13370	(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)
13371	name of a person
13372	(corrupted form of 拯) to save; to lift up
13373	(simplified form of 偑) name of a place, last name
13377	(same as U+20B74 𠭴) short; of short stature
13378	(same as 仿) to imitate, like; resembling, according to
13379	(same as 拗) to pull; to drag, to break off, to pluck, as a flower
13380	(ancient form of 侮) to insult, to ridicule
13381	(same as 作) to make; to do; to act, to write; to compose; to rise, work
13383	(a simplified form) clever; ingenious; cute; pretty
13384	(simplified form) rude; barbarous, stupid; dull, last name
13385	cannot straighten up
13386	a kind of disease
13387	small, poor, submit to the dominion of; slow; late
13388	(same as 尪) weak; a rickety person; emaciated
13389	inferior; secondary, ugly
13390	last name
13391	(corrupted form of U+4F47 佇) to stand and wait; to hope for
13392	to move; to start; to shake, name of a person
13396	(a simplified form) (corrupted form of 偦) all together, mutually, last name
13399	a god, pregnant
13400	(same as 价) a servant, a middle-man, good, great; (a simplified form) price; value
13401	frivolous; flippant; capricious; playful
13402	(non-classical form of 那) that, there
13403	to shake one's head
13404	(a dialect) to engrave
13405	to make a fool of; idiotic, simple, stupid
13406	(same as 媵) (in old time) a maid who accompanies a bride to her new home; to escort, a concubine
13407	insincere and cunning person; a pretentious person
13411	stupid; loutish, without ability; unable; lacking power
13412	(same as 媌) good looking, a prostitute
13413	disrespectful; irreverent, to make light of; to neglect; careless; rush, to exchange, (said of one's personality) easy to get along with
13414	anger; rage; angry, (same as 戾) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic
13415	(corrupted form of 悸) perturbed, to throb, palpitation of the heart
13416	great; big; tall; vast, noble; high in rank, very; much
13417	(simplified form of U+5138 儸) smart; clever
13418	(non-classical form of 儕) a generation, a class; a series; a kind
13422	last name, girl's name
13423	last name, all; together; mutually, a low rank officer to take charge of the bandits in ancient time
13424	(a corrupted form) distress; very difficulty; anxiety; very tired
13425	a kind of monkey, fingering for an ancient string instrument
13427	(same as 媰) pregnant (妊娠, 妊身); cruel; pretty, cute, clever, ingenious, smart; to be hired; (used for 謅) to jest, to chaff, to bawl, mean person (as opposed to real gentleman)
13428	(standard form of 侵) to usurp, to encroach upon, to raid
13429	(same as 嫉) envy; jealousy, to hate
13430	(non-classical form of 愾) anger; passion; rage, to sigh; to groan
13431	(same as 態) manner, bearing, behaviour, policy, attitude
13433	(non-classical of 會) to meet; to assemble, to co-operate, a society; a guild; an association
13434	(a variant of 俊) superior, handsome, refined, eminent
13435	strong, robust, vigorous
13436	name of a god
13437	(same as 傏) to ward off; to parry; to keep out, as wind, rain, or cold
13438	(interchangeable 繇) joy, delight, gratification
13439	long, of space or time, profitable, excelling
13440	do not fear to
13441	(same as 俁) of great stature; stalwart, to injure, to grieve
13442	to bestow; to grant, to act; to do, quiet; still, peace; tranquility
13443	(same as 貳) capital form of two, a second job, to harbour doubts; to hesitate, to revolt
13444	brittle and friable, fear; dread; fright; scare
13445	to unbind the collar
13446	(same as 歙) to gather the harvest; to gather together
13447	(same as 憮) to skip about; to dance for joy; to soothe, slow, disappointed
13448	dangerous; lofty; steep; high and dangerous
13449	(same as 惝) alarmed; agitated
13450	loquacious
13451	a servant; a menial, a woodcutter
13452	(ancient form of 煢) along; desolate; orphaned
13453	(interchangeable U+50AB 儽) utterly weary in body and spirits; negligent; lax
13454	evil, wicked, wrong, foul
13457	grow up, commodity prices
13458	(same as 僕) a slave; a servant, used conventionally for oneself, a charioteer
13459	to escape; to abscond; to flee, (interchangeable 達)
13460	to shake one's head, ugly, not in peace
13461	unyield
13462	(same as 藕) the root-stock of the lotus; arrowroot
13463	(a variant of 儓) a servant
13465	to hand or bow the head; to droop; to lower, low; beneath
13466	(same as U+7A69 穩) firm; stable; secure, dependent upon others
13467	to stand alone; independent
13468	respectful; attentive, carefully; cautious; to heed; to be watchful, to rely on; to trust to; to lean towards
13469	to deceive; artful; false
13470	valiant; brave, eminent
13471	(same as 褭) with a charming; slim carriage (of a woman), pretty
13472	narrow; contracted, quickly; fast; hasty; soon; promptly
13473	name of a person
13476	to have one's heart won; to submit, admire, etc. sincerely and willingly, (interchangeable 懾) to fear; to dread; to be scared of
13477	an immortal
13478	(same as 儡) puppets, very tired; fatigued; weary and weak
13479	(same as 儷) a pair; a couple, luxuriant; lush; exuberant
13480	(ancient form of 仙) an immortal; a fairy; a genie
13481	(same as 梴 裸) naked, to strip; to unclothe
13482	(ancient form of 錫) tin; pewter
13483	(ancient form of 旡) choked and unable to breath
13485	(same as 昆) an elder brother
